Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9
3.47222E-05,0.155,0.002,0.002,0.222,0.202,0.17,0.221,0.091,0.137,-0.001,0.144,0.003,0.003,0.215,0.205,0.162,0.232,0.093,0.132,0.042,0.021,0.049,0,0.009,0.003,-0.001,0.001,0,0.001,0.038,0.022,0.053,0.002,0.008,0.003,-0.001,0,0
0.010451389,0.19,0.003,0.002,0.279,0.252,0.208,0.276,0.11,0.168,-0.001,0.156,0.003,0.004,0.283,0.27,0.206,0.28,0.115,0.166,0.045,0.028,0.065,0,0.01,0.004,-0.002,0.001,0,0.001,0.047,0.023,0.071,0.002,0.009,0.002,-0.001,0,0
0.020868056,0.184,0.003,0.002,0.227,0.223,0.207,0.237,0.108,0.165,-0.001,0.168,0.003,0.004,0.222,0.209,0.202,0.236,0.123,0.167,0.049,0.028,0.071,0,0.011,0.005,-0.002,0.001,0,0.001,0.053,0.027,0.076,0.002,0.012,0.004,-0.001,0,0
0.031284722,0.172,0.003,0.002,0.219,0.198,0.172,0.216,0.101,0.15,-0.001,0.167,0.004,0.005,0.214,0.208,0.193,0.22,0.134,0.165,0.054,0.03,0.079,0.001,0.012,0.005,-0.001,0.001,0,0.001,0.059,0.029,0.082,0.003,0.012,0.004,-0.001,0,0
0.041701389,0.168,0.003,0.002,0.222,0.199,0.17,0.216,0.102,0.153,-0.001,0.167,0.004,0.005,0.222,0.215,0.186,0.232,0.132,0.162,0.059,0.03,0.091,0.001,0.012,0.006,-0.001,0.001,0,0.001,0.066,0.032,0.092,0.003,0.013,0.005,-0.001,0,0
0.052118056,0.172,0.003,0.002,0.236,0.208,0.172,0.234,0.107,0.151,-0.001,0.174,0.004,0.005,0.234,0.221,0.191,0.243,0.132,0.159,0.064,0.033,0.105,0.001,0.014,0.007,-0.001,0.001,0,0.001,0.074,0.036,0.109,0.003,0.016,0.005,-0.001,0,0
0.062534722,0.184,0.003,0.002,0.251,0.226,0.178,0.254,0.114,0.156,-0.001,0.187,0.005,0.005,0.251,0.24,0.203,0.266,0.135,0.168,0.071,0.036,0.12,0.002,0.015,0.008,-0.001,0.001,0,0.001,0.083,0.041,0.127,0.004,0.019,0.006,-0.001,0,0
0.072951389,0.2,0.003,0.003,0.273,0.244,0.193,0.284,0.122,0.172,-0.001,0.203,0.005,0.006,0.272,0.26,0.221,0.292,0.141,0.183,0.078,0.04,0.135,0.002,0.017,0.009,-0.001,0.001,0,0.001,0.093,0.047,0.146,0.004,0.023,0.007,-0.001,0,0
0.083368056,0.219,0.004,0.003,0.299,0.266,0.212,0.312,0.129,0.189,-0.001,0.223,0.006,0.007,0.297,0.285,0.241,0.322,0.151,0.202,0.087,0.043,0.15,0.002,0.02,0.01,-0.001,0.001,0,0.001,0.105,0.054,0.166,0.005,0.028,0.009,-0.001,0,0
0.093784722,0.241,0.005,0.004,0.327,0.293,0.233,0.344,0.138,0.207,-0.001,0.246,0.008,0.008,0.325,0.312,0.266,0.354,0.166,0.222,0.096,0.048,0.167,0.003,0.023,0.012,-0.001,0.001,0,0.001,0.117,0.063,0.181,0.006,0.034,0.01,-0.001,-0.001,0
